Equipo,Partidos Jugados,Partidos Ganados,Partidos empatados,Partidos Perdidos,Goles Anotados,Goles recibidos,Diferencia de goles,Puntos,Promedio de Goles anotados,Promedio de goles recibidos,Porcentaje de Victorias,Porcentaje de empates,Porcentaje de derrotas,Efectividad
Deportivo Pereira,33,16,7,10,51,42,9,55,"1,545454545","1,272727273","48,48484848","21,21212121","30,3030303","55,55555556"
Atlético Nacional,26,14,6,6,38,23,15,48,"1,461538462","0,8846153846","53,84615385","23,07692308","23,07692308","61,53846154"
Millonarios,25,12,9,4,38,20,18,45,"1,52","0,8",48,36,16,60
Independiente Medellín,24,13,6,5,39,30,9,45,"1,625","1,25","54,16666667",25,"20,83333333","62,5"
Real Santander-San andres,29,12,8,9,40,35,5,44,"1,379310345","1,206896552","41,37931034","27,5862069","31,03448276","50,57471264"
Deportes Quindío,31,12,7,12,30,26,4,43,"0,9677419355","0,8387096774","38,70967742","22,58064516","38,70967742","46,23655914"
Santa Fe,23,10,8,5,29,21,8,38,"1,260869565","0,9130434783","43,47826087","34,7826087","21,73913043","55,07246377"
Deportes Tolima,22,9,11,2,30,14,16,38,"1,363636364","0,6363636364","40,90909091",50,"9,090909091","57,57575758"
Junior,20,11,3,6,28,21,7,36,"1,4","1,05",55,15,30,60
Tigres,26,9,9,8,22,21,1,34,"0,8461538462","0,8076923077","34,61538462","34,61538462","30,76923077","43,58974359"
Unión Magdalena,22,8,9,5,32,25,7,33,"1,454545455","1,136363636","36,36363636","40,90909091","22,72727273",50
Deportivo Pasto,23,9,5,9,34,33,1,32,"1,47826087","1,434782609","39,13043478","21,73913043","39,13043478","46,37681159"
Once Caldas,22,8,7,7,23,25,-2,31,"1,045454545","1,136363636","36,36363636","31,81818182","31,81818182","46,96969697"
Llaneros,24,7,10,7,21,20,1,31,"0,875","0,8333333333","29,16666667","41,66666667","29,16666667","43,05555556"
Barranquilla F. C.,22,8,5,9,21,27,-6,29,"0,9545454545","1,227272727","36,36363636","22,72727273","40,90909091","43,93939394"
Fortaleza CEIF,24,8,5,11,22,26,-4,29,"0,9166666667","1,083333333","33,33333333","20,83333333","45,83333333","40,27777778"
Leones,26,6,9,11,27,36,-9,27,"1,038461538","1,384615385","23,07692308","34,61538462","42,30769231","34,61538462"
Atlético Bucaramanga,22,7,6,9,24,24,0,27,"1,090909091","1,090909091","31,81818182","27,27272727","40,90909091","40,90909091"
Cucuta deportivo,15,7,6,2,22,19,3,27,"1,466666667","1,266666667","46,66666667",40,"13,33333333",60
Real Cartagena,20,6,9,5,21,17,4,27,"1,05","0,85",30,45,25,45
América de Cali,18,6,7,5,17,13,4,25,"0,9444444444","0,7222222222","33,33333333","38,88888889","27,77777778","46,2962963"
La Equidad,18,5,9,4,21,17,4,24,"1,166666667","0,9444444444","27,77777778",50,"22,22222222","44,44444444"
Atlético Huila,18,6,4,8,19,24,-5,22,"1,055555556","1,333333333","33,33333333","22,22222222","44,44444444","40,74074074"
Jaguares,20,4,9,7,19,27,-8,21,"0,95","1,35",20,45,35,35
Alianza Petrolera,18,4,7,7,21,23,-2,19,"1,166666667","1,277777778","22,22222222","38,88888889","38,88888889","35,18518519"
Orsomarso,16,5,4,7,13,19,-6,19,"0,8125","1,1875","31,25",25,"43,75","39,58333333"
Patriotas,18,4,6,8,15,21,-6,18,"0,8333333333","1,166666667","22,22222222","33,33333333","44,44444444","33,33333333"
Cortuluá,16,4,5,7,11,19,-8,17,"0,6875","1,1875",25,"31,25","43,75","35,41666667"
Envigado F. C.,17,2,10,5,17,22,-5,16,1,"1,294117647","11,76470588","58,82352941","29,41176471","31,37254902"
Valledupar F. C.,18,2,9,7,14,27,-13,15,"0,7777777778","1,5","11,11111111",50,"38,88888889","27,77777778"
Boyacá Chicó,16,2,7,7,16,23,-7,13,1,"1,4375","12,5","43,75","43,75","27,08333333"
Deportivo Cali,19,6,7,6,24,25,-1,13,"1,263157895","1,315789474","31,57894737","36,84210526","31,57894737","22,80701754"
Águilas Doradas,11,3,4,4,9,9,0,13,"0,8181818182","0,8181818182","27,27272727","36,36363636","36,36363636","39,39393939"
Bogotá F. C.,14,3,3,8,11,22,-11,12,"0,7857142857","1,571428571","21,42857143","21,42857143","57,14285714","28,57142857"
Boca Juniors de Cali,10,2,3,5,7,9,-2,9,"0,7","0,9",20,30,50,30
Universitario de popayan,10,2,3,5,9,13,-4,9,"0,9","1,3",20,30,50,30
Atlético F. C.,14,0,6,8,7,19,-12,6,"0,5","1,357142857",0,"42,85714286","57,14285714","14,28571429"
