Equipo;Partidos Jugados;Partidos Ganados;Partidos empatados;Partidos Perdidos;Goles Anotados;Goles recibidos;Diferencia de goles;Puntos;Promedio de Goles anotados;Promedio de goles recibidos;Porcentaje de Victorias;Porcentaje de empates;Porcentaje de derrotas;Efectividad;Goles Local;Goles Visitante;Prom Local;Prom VIsitante
Deportivo Pereira;33,00;16,00;7,00;10,00;51,00;42,00;9,00;55,00;1,55;1,27;48,48;21,21;30,30;55,56;23;12;1,39;0,73
Atlético Nacional;26,00;14,00;6,00;6,00;38,00;23,00;15,00;48,00;1,46;0,88;53,85;23,08;23,08;61,54;25;13;1,92;1,00
Millonarios;25,00;12,00;9,00;4,00;38,00;20,00;18,00;45,00;1,52;0,80;48,00;36,00;16,00;60,00;16;12;1,28;0,96
Independiente Medellín;24,00;13,00;6,00;5,00;39,00;30,00;9,00;45,00;1,63;1,25;54,17;25,00;20,83;62,50;16;22;1,33;1,83
Real Santander-San andres;29,00;12,00;8,00;9,00;40,00;35,00;5,00;44,00;1,38;1,21;41,38;27,59;31,03;50,57;9;6;0,62;0,41
Deportes Quindío;31,00;12,00;7,00;12,00;30,00;26,00;4,00;43,00;0,97;0,84;38,71;22,58;38,71;46,24;10;10;0,65;0,65
Santa Fe;23,00;10,00;8,00;5,00;29,00;21,00;8,00;38,00;1,26;0,91;43,48;34,78;21,74;55,07;11;8;0,96;0,70
Deportes Tolima;22,00;9,00;11,00;2,00;30,00;14,00;16,00;38,00;1,36;0,64;40,91;50,00;9,09;57,58;16;14;1,45;1,27
Junior;20,00;11,00;3,00;6,00;28,00;21,00;7,00;36,00;1,40;1,05;55,00;15,00;30,00;60,00;18;19;1,80;1,90
Tigres;26,00;9,00;9,00;8,00;22,00;21,00;1,00;34,00;0,85;0,81;34,62;34,62;30,77;43,59;16;8;1,23;0,62
Unión Magdalena;22,00;8,00;9,00;5,00;32,00;25,00;7,00;33,00;1,45;1,14;36,36;40,91;22,73;50,00;24;18;2,18;1,64
Deportivo Pasto;23,00;9,00;5,00;9,00;34,00;33,00;1,00;32,00;1,48;1,43;39,13;21,74;39,13;46,38;21;17;1,83;1,48
Once Caldas;22,00;8,00;7,00;7,00;23,00;25,00;-2,00;31,00;1,05;1,14;36,36;31,82;31,82;46,97;14;12;1,27;1,09
Llaneros;24,00;7,00;10,00;7,00;21,00;20,00;1,00;31,00;0,88;0,83;29,17;41,67;29,17;43,06;14;7;1,17;0,58
Barranquilla F. C.;22,00;8,00;5,00;9,00;21,00;27,00;-6,00;29,00;0,95;1,23;36,36;22,73;40,91;43,94;16;5;1,45;0,45
Fortaleza CEIF;24,00;8,00;5,00;11,00;22,00;26,00;-4,00;29,00;0,92;1,08;33,33;20,83;45,83;40,28;13;13;1,08;1,08
Leones;26,00;6,00;9,00;11,00;27,00;36,00;-9,00;27,00;1,04;1,38;23,08;34,62;42,31;34,62;12;15;0,92;1,15
Atlético Bucaramanga;22,00;7,00;6,00;9,00;24,00;24,00;0,00;27,00;1,09;1,09;31,82;27,27;40,91;40,91;20;5;1,82;0,45
Cucuta deportivo;15,00;7,00;6,00;2,00;22,00;19,00;3,00;27,00;1,47;1,27;46,67;40,00;13,33;60,00;;;0,00;0,00
Real Cartagena;20,00;6,00;9,00;5,00;21,00;17,00;4,00;27,00;1,05;0,85;30,00;45,00;25,00;45,00;;;0,00;0,00
América de Cali;18,00;6,00;7,00;5,00;17,00;13,00;4,00;25,00;0,94;0,72;33,33;38,89;27,78;46,30;;;0,00;0,00
La Equidad;18,00;5,00;9,00;4,00;21,00;17,00;4,00;24,00;1,17;0,94;27,78;50,00;22,22;44,44;;;0,00;0,00
Atlético Huila;18,00;6,00;4,00;8,00;19,00;24,00;-5,00;22,00;1,06;1,33;33,33;22,22;44,44;40,74;;;0,00;0,00
Jaguares;20,00;4,00;9,00;7,00;19,00;27,00;-8,00;21,00;0,95;1,35;20,00;45,00;35,00;35,00;;;0,00;0,00
Alianza Petrolera;18,00;4,00;7,00;7,00;21,00;23,00;-2,00;19,00;1,17;1,28;22,22;38,89;38,89;35,19;;;0,00;0,00
Orsomarso;16,00;5,00;4,00;7,00;13,00;19,00;-6,00;19,00;0,81;1,19;31,25;25,00;43,75;39,58;;;0,00;0,00
Patriotas;18,00;4,00;6,00;8,00;15,00;21,00;-6,00;18,00;0,83;1,17;22,22;33,33;44,44;33,33;;;0,00;0,00
Cortuluá;16,00;4,00;5,00;7,00;11,00;19,00;-8,00;17,00;0,69;1,19;25,00;31,25;43,75;35,42;;;0,00;0,00
Envigado F. C.;17,00;2,00;10,00;5,00;17,00;22,00;-5,00;16,00;1,00;1,29;11,76;58,82;29,41;31,37;;;0,00;0,00
Valledupar F. C.;18,00;2,00;9,00;7,00;14,00;27,00;-13,00;15,00;0,78;1,50;11,11;50,00;38,89;27,78;;;0,00;0,00
Boyacá Chicó;16,00;2,00;7,00;7,00;16,00;23,00;-7,00;13,00;1,00;1,44;12,50;43,75;43,75;27,08;;;0,00;0,00
Deportivo Cali;19,00;6,00;7,00;6,00;24,00;25,00;-1,00;13,00;1,26;1,32;31,58;36,84;31,58;22,81;;;0,00;0,00
Águilas Doradas;11,00;3,00;4,00;4,00;9,00;9,00;0,00;13,00;0,82;0,82;27,27;36,36;36,36;39,39;;;0,00;0,00
Bogotá F. C.;14,00;3,00;3,00;8,00;11,00;22,00;-11,00;12,00;0,79;1,57;21,43;21,43;57,14;28,57;;;0,00;0,00
Boca Juniors de Cali;10,00;2,00;3,00;5,00;7,00;9,00;-2,00;9,00;0,70;0,90;20,00;30,00;50,00;30,00;;;0,00;0,00
Universitario de popayan;10,00;2,00;3,00;5,00;9,00;13,00;-4,00;9,00;0,90;1,30;20,00;30,00;50,00;30,00;;;0,00;0,00
Atlético F. C.;14,00;0,00;6,00;8,00;7,00;19,00;-12,00;6,00;0,50;1,36;0,00;42,86;57,14;14,29;;;0,00;0,00
